taxid,rank,date,shield_no
940236,SERGEANT,3/30/2012,1633
940236,LIEUTENANT,6/29/2018,
940236,CAPTAIN,1/27/2023,
954767,POLICE OFFICER,7/9/2013,18090
954767,POLICE OFFICER,6/4/2014,30427
941034,POLICE OFFICER,1/9/2006,27752
941034,DETECTIVE,3/30/2012,2261
975272,POLICE OFFICER,7/15/2022,19034
943352,POLICE OFFICER,1/10/2007,18981
943352,SERGEANT,6/28/2019,230
943352,LIEUTENANT,7/31/2024,
976175,POLICE OFFICER,1/17/2023,7801
976175,POLICE OFFICER,1/30/2023,18981
930314,POLICE OFFICER,7/1/2002,18971
930314,DETECTIVE,3/31/2023,2277
952831,POLICE OFFICER,7/11/2012,13542
952831,DETECTIVE,11/21/2017,2705
955974,POLICE OFFICER,1/8/2014,10312
955974,DETECTIVE,3/5/2019,7821
955974,DETECTIVE,2/17/2021,219
904113,POLICE OFFICER,8/30/1993,31206
904113,DETECTIVE,3/31/2005,2013
981374,POLICE OFFICER,1/29/2025,19625
952832,POLICE OFFICER,7/11/2012,24029
965742,POLICE OFFICER,4/25/2018,6213
970583,POLICE OFFICER,12/29/2020,6964
938638,POLICE OFFICER,7/11/2005,10164
938638,DETECTIVE,10/29/2010,7459
949086,POLICE OFFICER,7/6/2010,6827
972684,POLICE OFFICER,10/12/2021,3629
977944,POLICE OFFICER,10/25/2023,2581
956720,POLICE OFFICER,7/9/2014,13906
958683,POLICE OFFICER,7/8/2015,5375
958683,DETECTIVE,8/25/2023,4228
977176,POLICE OFFICER,7/5/2023,17507
979917,POLICE OFFICER,7/3/2024,19262
969772,POLICE OFFICER,11/2/2020,24952
979918,POLICE OFFICER,7/3/2024,19270
949087,POLICE OFFICER,7/6/2010,2217
950561,POLICE OFFICER,7/6/2011,18227
950561,DETECTIVE,8/26/2022,6753
941881,POLICE OFFICER,7/10/2006,22273
941881,DETECTIVE,12/19/2019,915
964543,POLICE OFFICER,10/18/2017,16553
976696,POLICE OFFICER,4/26/2023,17398
980312,POLICE OFFICER,7/19/2024,12972
919155,POLICE OFFICER,4/15/1997,25102
919155,DETECTIVE,8/29/2002,5397
919155,SERGEANT,3/28/2003,3461
919155,LIEUTENANT,3/31/2006,
919155,CAPTAIN,8/2/2011,
919155,DEPUTY INSPECTOR,11/22/2016,
919155,INSPECTOR,11/22/2022,
919155,DEPUTY CHIEF,6/27/2025,
934992,POLICE OFFICER,7/1/2004,6286
974908,POLICE OFFICER,7/13/2022,22527
965171,POLICE OFFICER,1/10/2018,30008
917095,POLICE OFFICER,7/18/1996,10566
917095,POLICE OFFICER,5/30/1997,3476
917095,SERGEANT,7/26/2001,4695
917095,LIEUTENANT,12/22/2006,
917095,CAPTAIN,6/9/2017,
930318,POLICE OFFICER,7/1/2002,25866
930318,DETECTIVE,5/30/2008,1908
969773,POLICE OFFICER,11/2/2020,25086
965172,POLICE OFFICER,1/10/2018,21329
936733,POLICE OFFICER,1/10/2005,9389
936733,POLICE OFFICER,8/12/2005,9387
936733,SERGEANT,11/26/2013,1553
936734,POLICE OFFICER,1/10/2005,3061
936735,POLICE OFFICER,1/10/2005,955
936735,SERGEANT,11/24/2020,4478
943353,POLICE OFFICER,1/10/2007,768
949088,POLICE OFFICER,7/6/2010,11876
954542,POLICE OFFICER,7/9/2013,737
954542,SERGEANT,6/25/2020,4205
954542,LIEUTENANT,6/28/2024,
951807,POLICE OFFICER,1/9/2012,5951
911522,POLICE OFFICER,4/1/1995,25050
911522,DETECTIVE,8/21/1997,3152
911522,DETECTIVE,10/30/1998,6179
911522,POLICE OFFICER,5/26/1999,25137
911522,DETECTIVE,11/24/2015,1257
952833,POLICE OFFICER,7/11/2012,8543
967542,POLICE OFFICER,4/15/2019,9689
949660,POLICE OFFICER,7/6/2010,10473
949660,DETECTIVE,11/20/2018,1274
949660,SERGEANT,10/18/2021,2888
941882,POLICE OFFICER,7/10/2006,20669
941882,SERGEANT,8/30/2019,5536
950563,POLICE OFFICER,7/6/2011,9247
950563,DETECTIVE,7/30/2021,3858
981376,POLICE OFFICER,1/29/2025,24885
932775,POLICE OFFICER,7/1/2003,9939
932775,SERGEANT,10/26/2012,2548
932775,LIEUTENANT,6/28/2019,
977945,POLICE OFFICER,10/25/2023,5613
951808,POLICE OFFICER,1/9/2012,14204
970584,POLICE OFFICER,12/29/2020,7823
938640,POLICE OFFICER,7/11/2005,31425
938640,SERGEANT,6/9/2017,1141
951809,POLICE OFFICER,1/9/2012,21499
951809,DETECTIVE,6/10/2021,2852
951809,SERGEANT,9/30/2022,3444
961806,POLICE OFFICER,7/13/2016,2350
961806,DETECTIVE,2/9/2022,1409
958684,POLICE OFFICER,7/8/2015,20722
965173,POLICE OFFICER,1/10/2018,22788
971468,POLICE OFFICER,4/28/2021,2597
971468,POLICE OFFICER,7/26/2021,444
971468,DETECTIVE,3/28/2025,1905
926931,POLICE OFFICER,9/29/2000,7517
926931,SERGEANT,11/30/2005,796
945805,POLICE OFFICER,1/7/2008,14144
945805,POLICE OFFICER,4/17/2023,14142
919157,POLICE OFFICER,4/15/1997,25813
919157,SERGEANT,9/27/2002,1929
919157,LIEUTENANT,6/30/2006,
919157,CAPTAIN,1/25/2013,
919157,DEPUTY INSPECTOR,3/27/2015,
919157,INSPECTOR,3/31/2017,
919157,DEPUTY CHIEF,7/27/2018,
919157,ASSISTANT CHIEF,6/29/2020,
947919,POLICE OFFICER,1/14/2009,4428
947919,SERGEANT,6/10/2021,1054
932776,POLICE OFFICER,7/1/2003,26439
930323,POLICE OFFICER,7/1/2002,17121
930323,SERGEANT,11/24/2009,1034
930323,LIEUTENANT,1/30/2015,
970585,POLICE OFFICER,12/29/2020,16732
976177,POLICE OFFICER,1/17/2023,9155
934994,POLICE OFFICER,7/1/2004,25033
976698,POLICE OFFICER,4/26/2023,29891
971469,POLICE OFFICER,4/28/2021,7787
971469,POLICE OFFICER,8/13/2021,607
971469,DETECTIVE,1/31/2025,3519
940238,POLICE OFFICER,1/9/2006,3626
964544,POLICE OFFICER,10/18/2017,8186
982334,POLICE OFFICER,4/30/2025,3591
981377,POLICE OFFICER,1/29/2025,25287
936738,POLICE OFFICER,1/10/2005,20590
976699,POLICE OFFICER,4/26/2023,20809
979919,POLICE OFFICER,7/3/2024,7110
956722,POLICE OFFICER,7/9/2014,30956
